gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
30980	HARN	6	HARN0000006		'40571'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
30980	HARN	6	HARN0000006		'435323119374701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
30980	HARN	6	HARN0000006		'HC064'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
19871	HARN	8	HARN0000008		'40580'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
19871	HARN	8	HARN0000008		'435233119161901'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
19871	HARN	8	HARN0000008		'HC073'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
18476	HARN	14	HARN0000014		'19S/34E-18cca'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18476	HARN	14	HARN0000014		'435440118350601'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18478	HARN	18	HARN0000018		'19S/363-31abc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18478	HARN	18	HARN0000018		'435244118201101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18477	HARN	19	HARN0000019		'19S/36E-30daa'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18477	HARN	19	HARN0000019		'435317118193701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18477	HARN	19	HARN0000019		'435318118193701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18479	HARN	28	HARN0000028		'20S/33.5E-2adb'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18479	HARN	28	HARN0000028		'435213118362801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18480	HARN	29	HARN0000029		'20S/34E-4bda'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18480	HARN	29	HARN0000029		'435139118321401'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18481	HARN	31	HARN0000031		'20S/34E-4cbd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18481	HARN	31	HARN0000031		'435120118323301'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18482	HARN	32	HARN0000032		'20S/34E-12dbc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18482	HARN	32	HARN0000032		'435028118283101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18483	HARN	36	HARN0000036		'20S/35E-26abb'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18483	HARN	36	HARN0000036		'434828118222901'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18484	HARN	37	HARN0000037		'20S/35E-26abc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18484	HARN	37	HARN0000037		'434821118223401'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18485	HARN	41	HARN0000041		'20S/35E-34ddd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18485	HARN	41	HARN0000041		'434651118231401'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18486	HARN	47	HARN0000047		'20S/36E-30acc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18486	HARN	47	HARN0000047		'434821118195501'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18487	HARN	49	HARN0000049		'20S/36E-32bba'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18487	HARN	49	HARN0000049		'434736118192601'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18488	HARN	57	HARN0000057		'21S/35E-13dbc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18488	HARN	57	HARN0000057		'434438118212901'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18546	HARN	67	HARN0000067		'22S/26E-30DBD'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18546	HARN	67	HARN0000067		'433749119383501'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
6248	HARN	75	HARN0000075		'22S/30E-27ddc'	OWRD GWR 016	Leonard, A.R., 1970, Ground-water resources in Harney Valley, Harney County, Oregon: State of Oregon, Ground Water Report No. 16.	1/29/2024
6248	HARN	75	HARN0000075		'22S/30E-27ddc'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18394	HARN	84	HARN0000084		'22S/30E-35bbb'	OWRD GWR 016	Leonard, A.R., 1970, Ground-water resources in Harney Valley, Harney County, Oregon: State of Oregon, Ground Water Report No. 16.	1/29/2024
18128	HARN	97	HARN0000097		'No. 1'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
