## U.S. Geological Survey
## Groundwater Periodic and Recorder Sites
##
##               January 20, 2024
##
##==========================================================================================
site_id	agency_cd	site_no	coop_site_no	state_well_nmbr	cdwr_id	station_nm	periodic	recorder	dec_lat_va	dec_long_va	alt_va	alt_acy_va	alt_datum_cd	well_depth_va
20s	10s	20s	15s	20s	30s	30s	10s	10s	16s	16s	12s	10s	16s	16s
420931118330001	USGS	420931118330001	HARN0001806	198		39S/35E-25DBA	178		42.1585	-118.551	 4133	  5	NAVD88	400
422434118375701	USGS	422434118375701	HARN0001753	193		36S/33E-16DCB	194		42.40934	-118.635	 4078.00	05	NGVD29	180
423528118301501	USGS	423528118301501	HARN0001713	191		34S/34E-15BCA	214		42.59116	-118.505	 4101.00	5	NGVD29	300
424032118274101	USGS	424032118274101	HARN0001690	190		33S/34E-24BBC	236		42.66577	-118.471	 4228	10	NAVD88	310
424525119022501	USGS	424525119022501	HARN0001640			32S/31E-33DAA	8		42.75819	-119.07	 4589.00	2.5	NGVD29	251
424944118544801	USGS	424944118544801	HARN0001643			32S/32E-02ADC	7		42.82634	-118.915	 4189.00	10	NGVD29	78.0
425830118521801	USGS	425830118521801	HARN0001603			30S/31E-10CDB	21		42.9751	-118.873	 4155.00	3	NGVD29	240
425838118435301	USGS	425838118435301	HARN0001610			30.00S/32.00E-11BAA	0		42.98586	-118.732	4517.82	1	NAVD1988	410.0
425857118474201	USGS	425857118474201	HARN0001611			30.00S/32.00E-8CAD	5		42.97716	-118.79	4448.8	5	NAVD1988	427.0
430021118435801	USGS	430021118435801	HARN0001588			29.00S/32.00E-35CAC	15		43.00572	-118.734	4437.38	5	NAVD1988	325.0
430508119582001	USGS	430508119582001	LAKE0001468	371		29S/23E-03DAC	477		43.08569	-119.973	 4225.00	5	NGVD29	177
430701118335301	USGS	430701118335301	HARN0001562			28S/34E-30AAA	8		43.11704	-118.566	 4368.00	1	NGVD29	338
430734118561201	USGS	430734118561201	HARN0001537			28S/30E-24ADD	18		43.12619	-118.939	 4321	10	NAVD88	520
430940118400401	USGS	430940118400401	HARN0001548			28S/33E-05DCD	9		43.16088	-118.669	 4502	10	NAVD88	578
431010118490301	USGS	431010118490301	HARN0001540	1474		28S/31E-01ADD	30		43.16913	-118.819	 4226.00	5	NGVD29	278
431013118360301	USGS	431013118360301	HARN0001547			28S/33E-01BCB	6		43.17047	-118.603	 4251.00	1	NGVD29	313
431021118275801	USGS	431021118275801	HARN0001557			28S/34E-01AAD	11		43.17229	-118.467	 4186	1	NAVD88	128
431033118332601	USGS	431033118332601	HARN0001510			27S/34E-32CDA	6		43.17599	-118.558	 4250.00	1	NGVD29	164
431059118455701	USGS	431059118455701	HARN0001474			27S/32E-33ACD	5		43.18278	-118.767	 4478.00	5	NGVD29	572
431119118592701	USGS	431119118592701	HARN0001459			27S/30E-34BAB	9		43.18749	-118.988	 4533	5	NAVD88	350
431129118343601	USGS	431129118343601	HARN0001509			27S/34E-30CDB	8		43.19157	-118.578	 4378	1	NAVD88	291
431238118400101	USGS	431238118400101	HARN0001482	1473		27S/33E-20DBA	37		43.21142	-118.668	 4205.00	10	NGVD29	200
431249118362801	USGS	431249118362801	HARN0001485			27S/33E-23ACA	7		43.21359	-118.609	 4526	5	NAVD88	520.5
431310118441101	USGS	431310118441101	HARN0001472			27S/32E-14CCD	21		43.21905	-118.737	 4340.00	4	NGVD29	646
431342118440901	USGS	431342118440901	HARN0001473			27S/32E-14BCA	6		43.22837	-118.737	 4515.00	5	NGVD29	576
431357118582301	USGS	431357118582301	HARN0001458			27S/30E-14BBB	9		43.23112	-118.973	 4138	5	NAVD88	341
431447118533601	USGS	431447118533601	HARN0001467	1459		27S/31E-09BBA	37	OWRD	43.246	-118.893	 4115.00	3	NGVD29	500
431513118471801	USGS	431513118471801	HARN0001461	222		27S/31E-01ACB	79		43.25674	-118.828	 4107.00	1	NGVD29	118
431540118535801	USGS	431540118535801	HARN0001463			27S/31E-05AA1	75		43.26171	-118.898	 4109	0.5	NAVD88	18
431545118512701	USGS	431545118512701	HARN0001363	179		26S/31E-34DDD	308		43.26208	-118.858	 4099.00	3	NGVD29	147
431551118381001	USGS	431551118381001	HARN0001408	183		26S/33E-34CCA1	305		43.264	-118.637	 4120.00	20	NGVD29	81.0
431601118503301	USGS	431601118503301	HARN0001367			26S/31E-35DA1	75		43.26692	-118.843	 4103	0.05	NAVD88	16
431644118573801	USGS	431644118573801	HARN0001356			26S/30E-26DD1	75		43.27959	-118.961	 4120	0.5	NAVD88	21
431649118390101	USGS	431649118390101	HARN0001401	220		26S/33E-28DCB	116		43.28001	-118.652	 4107.00	10	NGVD29	65.0
431751118343201	USGS	431751118343201	HARN0001427	1099		26S/34E-19CAB	17		43.29642	-118.577	 4115.00	2.5	NGVD29	54.0
431752118340801	USGS	431752118340801	HARN0001428	185		26S/34E-19DBA	178		43.29812	-118.569	 4120.00	10	NGVD29	130
431840118585101	USGS	431840118585101	HARN0001346			26S/31E-15DD1	14		43.311	-118.981	 4104	0.25	NAVD88	17
431845118353001	USGS	431845118353001	HARN0001387	180		26S/33E-13DAA	122		43.31181	-118.583	 4135.00	3	NGVD29	105
431923118585101	USGS	431923118585101	HARN0001238			26S/31E-15AA1	39		43.32349	-118.981	 4104	0.05	NAVD88	14
432020119011601	USGS	432020119011601	HARN0001341			26S/31E-05DD1	21		43.33829	-119.02	 4104	0.05	NAVD88	14
432203118534201	USGS	432203118534201	HARN0001177			25S/32E-28CD1	72		43.36691	-118.895	 4109	0.5	NAVD88	18
432208119000801	USGS	432208119000801	HARN0001143			25S/31E-28DD1	81		43.36722	-119.001	 4114	0.5	NAVD88	31
432218119022701	USGS	432218119022701	HARN0001152			25S/31E-30DA1	9		43.3717	-119.041	 4174	5	NAVD88	60
432224119160001	USGS	432224119160001	HARN0001084			25S/29E-29CAB	13		43.37447	-119.273	4131	5	NAVD88	457
432251118501301	USGS	432251118501301	HARN0001176			25S/32E-25BA1	64		43.38112	-118.837	 4104	0.05	NAVD88	15
432329118373701	USGS	432329118373701	HARN0001240			25S/33E-23BB1	81		43.39174	-118.628	 4113	1	NAVD88	28.5
432347119001101	USGS	432347119001101	HARN0001129			25S/31E-16DD1	44		43.39595	-119.002	 4114	0.5	NAVD88	40
432356118481701	USGS	432356118481701	HARN0001201			25S/32.5E-17CC1	20		43.399	-118.805	 4104	4.3	NAVD88	14.75
432429118420801	USGS	432429118420801	HARN0001218			25S/33E-07CD1	72		43.40643	-118.703	 4109	0.05	NAVD88	120
432448118352801	USGS	432448118352801	HARN0001236			25S/33E-12DA1	4		43.4133	-118.591	 4128	4.3	NAVD88	54
432448119003901	USGS	432448119003901	HARN0001119			25S/31E-09CD1	49		43.41358	-119.011	 4114	0.5	NAVD88	105
432501118480501	USGS	432501118480501	HARN0001198			25S/32.5E-08CA1	54		43.41703	-118.802	 4104	0.5	NAVD88	14
432518118420701	USGS	432518118420701	HARN0001217			25S/33E-06CD1	51		43.42114	-118.703	 4104	0.05	NAVD88	21
432526118444801	USGS	432526118444801	HARN0001199			25S/32.5E-11BB1	54		43.42442	-118.747	 4101	5	NAVD88	22
432531118465201	USGS	432531118465201	HARN0001191			25S/32.5E-04CD2	51		43.42483	-118.78	 4104	0.25	NAVD88	15
432532118431201	USGS	432532118431201	HARN0001186			25S/32.5E-01CD1	81		43.42481	-118.721	 4109	0.5	NAVD88	23.5
432532118431901	USGS	432532118431901	HARN0001187			25S/32.5E-01CD2	39		43.42484	-118.722	 4103	0.25	NAVD88	86
432534118464401	USGS	432534118464401	HARN0001190			25S/32.5E-04CD1	51		43.42511	-118.778	 4105	0.05	NAVD88	51
432610118510601	USGS	432610118510601	HARN0001175			25S/32E-02AB1	40		43.38023	-118.832	 4109	1	NAVD88	53
432611118505001	USGS	432611118505001	HARN0001165			25S/32E-02AA2	51		43.43541	-118.846	 4109	0.5	NAVD88	13.25
432612118475901	USGS	432612118475901	HARN0001193			25S/32.5E-05BA1	42		43.43599	-118.8	 4109	0.25	NAVD88	67
432614118480301	USGS	432614118480301	HARN0001194			25S/32.5E-05BA2	137		43.43539	-118.801	 4109	0.5	NAVD88	22
432614118504701	USGS	432614118504701	HARN0001164			25S/32E-02AA1	54		43.43618	-118.846	 4107	0.05	NAVD88	43
432656118481301	USGS	432656118481301	HARN0000971			24S/32.5E-32BC2	6		43.449	-118.803	 4111	4.3	NAVD88	41
432704118461001	USGS	432704118461001	HARN0000973			24S/32.5E-33AA1	64		43.45103	-118.77	 4109	0.5	NAVD88	35
432715118422701	USGS	432715118422701	HARN0001037			24S/33E-30CB2	8		43.4541	-118.707	 4109	0.5	NAVD88	16
432722118422701	USGS	432722118422701	HARN0001036			24S/33E-30CB1	27		43.45677	-118.708	 4109	0.5	NAVD88	106
432723118484101	USGS	432723118484101	HARN0000966	211		24S/32.5E-30DD1	142		43.45396	-118.809	 4113	4.3	NAVD88	130
432737118551901	USGS	432737118551901	HARN0000938			24S/32E-30DA2	48		43.46069	-118.922	 4114	4.3	NAVD88	39.5
432739118551901	USGS	432739118551901	HARN0000937			24S/32E-30DA1	33		43.46083	-118.922	 4114	0.5	NAVD88	15.5
432743119010701	USGS	432743119010701	HARN0000874	210		24S/31E-28BCC	350		43.46086	-119.02	 4128	0.1	NAVD88	17
432812118493001	USGS	432812118493001	HARN0000935			24S/32E-24DD1	46		43.47	-118.825	 4114	4.3	NAVD88	48
432817118512301	USGS	432817118512301	HARN0000932			24S/32E-23CD1	12		43.4715	-118.856	 4118	0.5	NAVD88	46
432822119011501	USGS	432822119011501	HARN0000871			24S/31E-20DA2	65		43.47287	-119.021	 4128	1	NAVD88	11
432823119011501	USGS	432823119011501	HARN0000870			24S/31E-20DA1	75		43.47284	-119.021	 4127	5	NAVD88	53
432857118510501	USGS	432857118510501	HARN0000928			24S/32E-23AB1	81		43.48266	-118.85	 4122	0.05	NAVD88	57
432953118573501	USGS	432953118573501	HARN0000867			24S/31E-12CC1	72		43.49763	-118.961	 4130	0.5	NAVD88	11
433016118532801	USGS	433016118532801	HARN0000911			24S/32E-09DB1	39		43.50496	-118.892	 4129	0.5	NAVD88	42
433026118494201	USGS	433026118494201	HARN0000922			24S/32E-12AC1	9		43.5073	-118.828	 4124	5	NAVD88	40
433026119011801	USGS	433026119011801	HARN0000861			24S/31E-08AD2	61		43.5058	-119.021	 4133	1	NAVD88	10
433027119011601	USGS	433027119011601	HARN0000860			24S/31E-08AD1	77		43.50594	-119.021	 4132	0.25	NAVD88	44.5
433108118541101	USGS	433108118541101	HARN0000902			24S/32E-05DA1	21		43.5192	-118.903	 4130	1	NAVD88	51
433139118541801	USGS	433139118541801	HARN0000616			23S/32E-32DD1	17		43.5275	-118.905	 4131	0.5	NAVD88	12.5
433155119020801	USGS	433155119020801	HARN0000521			23S/31E-32CB1	63		43.53168	-119.036	 4136	0.5	NAVD88	20
433206119010701	USGS	433206119010701	HARN0000523	205		23S/31E-33BCC	3570		43.5314	-119.02	 4134.00	0.01	NGVD29	12.5
433220118431601	USGS	433220118431601	HARN0000216			23S/32.5E-36BA2	2		43.539	-118.721	 4124	4.3	NAVD88	13.9
433224118491701	USGS	433224118491701	HARN0000661			23S/32.5E-31BB1	72		43.54029	-118.822	 4124	0.5	NAVD88	19.25
433227118551901	USGS	433227118551901	HARN0000611	207		 23S/32E-30DDD	202		43.5413	-118.923	 4131.00	0.1	NGVD29	19.0
433318119010501	USGS	433318119010501	HARN0000512			23S/31E-28BB2	73		43.55584	-119.018	 4141	0.5	NAVD88	9.5
433320118531901	USGS	433320118531901	HARN0000598			23S/32E-28AB1	53		43.55547	-118.892	 4134	1	NAVD88	135
433322119010101	USGS	433322119010101	HARN0000511			23S/31E-28BB1	81		43.55587	-119.019	 4142	0.5	NAVD88	45
433323118551601	USGS	433323118551601	HARN0000584			23S/32E-20CC3	342		43.55654	-118.922	 4135	0.05	NAVD88	72
