## Groundwater Site Summary
##
## Version 2.43                          
## Version_Date on February 20, 2025             
##
site_id	agency_cd	site_no	coop_site_no	cdwr_id	state_well_nmbr	station_nm	gw_agency_cd	gw_begin_date	gw_end_date	gw_status	gw_count	rc_agency_cd	rc_begin_date	rc_end_date	rc_status	rc_count	usgs_begin_date	usgs_end_date	usgs_status	usgs_count	usgs_rc_begin_date	usgs_rc_end_date	usgs_rc_status	usgs_rc_count	owrd_begin_date	owrd_end_date	owrd_status	owrd_count	owrd_rc_begin_date	owrd_rc_end_date	owrd_rc_status	owrd_rc_count	cdwr_begin_date	cdwr_end_date	cdwr_status	cdwr_count	cdwr_rc_begin_date	cdwr_rc_end_date	cdwr_rc_status	cdwr_rc_count
20s	10s	20s	15s	20s	20s	30s	20s	10s	10s	12s	10s	20s	10s	10s	12s	10s	10s	10s	12s	10s	10s	10s	12s	10s	10s	10s	12s	10s	10s	10s	12s	10s	10s	10s	12s	10s	10s	10s	12s	10s
420931118330001	USGS	420931118330001	HARN0001806		198	39S/35E-25DBA	USGS,OWRD	1966-06-14	2024-10-23	Active	122						1967-03-01	1985-11-06	Inactive	36					1966-06-14	2024-10-23	Active	86												
421235118370501	USGS	421235118370501				39S/35E-04CCD	USGS	1964-05-21	1985-11-06	Inactive	47						1964-05-21	1985-11-06	Inactive	47																				
421924118160801	USGS	421924118160801				37S/36E-15CBC	USGS	1962-11-29	1980-04-02	Inactive	44						1962-11-29	1980-04-02	Inactive	44																				
421929118160801	USGS	421929118160801				37S/36E-15CBB																																		
421955118140201	USGS	421955118140201				37S/36E-14AAC	USGS	1963-08-21	1985-11-06	Inactive	51						1963-08-21	1985-11-06	Inactive	51																				
422022118155201	USGS	422022118155201				37S/36E-10CDB	USGS	1962-11-29	1985-11-06	Inactive	56						1962-11-29	1985-11-06	Inactive	56																				
422434118375701	USGS	422434118375701	HARN0001753		193	36S/33E-16DCB	USGS,OWRD	1967-04-25	2024-10-23	Active	135						1969-12-03	1985-11-07	Inactive	32					1967-04-25	2024-10-23	Active	103												
423528118301501	USGS	423528118301501	HARN0001713		191	34S/34E-15BCA	USGS,OWRD	1960-11-17	2014-09-16	Inactive	116						1962-11-29	1985-11-07	Inactive	51					1960-11-17	2014-09-16	Inactive	65												
424032118274101	USGS	424032118274101	HARN0001690		190	33S/34E-24BBC	USGS,OWRD	1965-10-08	2024-10-23	Active	151						1965-12-01	1985-11-07	Inactive	45					1965-10-08	2024-10-23	Active	106												
424525119022501	USGS	424525119022501	HARN0001640			32S/31E-33DAA	USGS,OWRD	1975-05-22	2018-02-26	Inactive	7						1979-07-21	1979-07-21	Inactive	1					1975-05-22	2018-02-26	Inactive	6												
424944118544801	USGS	424944118544801	HARN0001643			32S/32E-02ADC	USGS,OWRD	1975-03-05	2018-02-26	Inactive	8						1979-07-19	1979-07-19	Inactive	1					1975-03-05	2018-02-26	Inactive	7												
425437118210601	USGS	425437118210601				31S/35E-01BBB	USGS	1954-07-11	1985-11-07	Inactive	85						1954-07-11	1985-11-07	Inactive	85																				
425830118521801	USGS	425830118521801	HARN0001603			30S/31E-10CDB	USGS,OWRD	1963-02-28	2021-08-17	Inactive	22						1979-07-20	1979-07-20	Inactive	1					1963-02-28	2021-08-17	Inactive	21												
425838118435301	USGS	425838118435301	HARN0001610			30.00S/32.00E-11BAA	USGS,OWRD	1962-09-10	1979-07-20	Inactive	4						1977-06-20	1979-07-20	Inactive	2					1962-09-10	1971-11-22	Inactive	2												
425857118474201	USGS	425857118474201	HARN0001611			30.00S/32.00E-8CAD	USGS,OWRD	1967-01-17	2018-02-27	Inactive	7						1979-07-19	1979-07-19	Inactive	1					1967-01-17	2018-02-27	Inactive	6												
430021118435801	USGS	430021118435801	HARN0001588			29.00S/32.00E-35CAC	USGS,OWRD	1962-09-06	2024-02-21	Inactive	18						1977-06-21	1977-06-21	Inactive	1					1962-09-06	2024-02-21	Inactive	17												
430508119582001	USGS	430508119582001	LAKE0001468		371	29S/23E-03DAC	USGS,OWRD	1945-10-11	1945-10-11	Inactive	117						1945-10-11	1985-10-15	Inactive	116					1945-10-11	1945-10-11	Inactive	1												
430701118335301	USGS	430701118335301	HARN0001562			28S/34E-30AAA	USGS,OWRD	1958-06-05	2018-03-01	Inactive	7						1958-06-05	1958-06-05	Inactive	1					2015-10-20	2018-03-01	Inactive	6												
430734118561201	USGS	430734118561201	HARN0001537			28S/30E-24ADD	USGS,OWRD	1964-06-02	2020-05-06	Inactive	19						1965-03-15	1965-03-15	Inactive	1					1964-06-02	2020-05-06	Inactive	18												
430940118400401	USGS	430940118400401	HARN0001548			28S/33E-05DCD	USGS,OWRD	1963-03-04	2018-03-01	Inactive	7						1977-06-17	1977-06-17	Inactive	1					1963-03-04	2018-03-01	Inactive	6												
431010118490301	USGS	431010118490301	HARN0001540		1474	28S/31E-01ADD	USGS,OWRD	1966-01-21	2024-10-24	Active	34						1966-01-21	1966-01-21	Inactive	1					2015-11-04	2024-10-24	Active	33												
431013118360301	USGS	431013118360301	HARN0001547			28S/33E-01BCB	USGS,OWRD	1962-06-28	2018-03-01	Inactive	5						1962-06-28	1962-06-28	Inactive	1					2016-03-03	2018-03-01	Inactive	4												
431021118275801	USGS	431021118275801	HARN0001557			28S/34E-01AAD	USGS,OWRD	1977-06-16	2018-10-31	Inactive	10						1977-06-16	1977-06-16	Inactive	1					2015-11-03	2018-10-31	Inactive	9												
431033118332601	USGS	431033118332601	HARN0001510			27S/34E-32CDA	OWRD	1958-05-29	2018-03-07	Inactive	7														1958-05-29	2018-03-07	Inactive	7												
431059118455701	USGS	431059118455701	HARN0001474			27S/32E-33ACD	USGS,OWRD	1963-07-02	2018-03-05	Inactive	4						1963-07-02	1963-07-02	Inactive	1					2016-11-01	2018-03-05	Inactive	3												
431119118592701	USGS	431119118592701	HARN0001459			27S/30E-34BAB	USGS,OWRD	1976-05-01	2018-02-27	Inactive	7						1976-05-01	1976-05-01	Inactive	1					2015-11-04	2018-02-27	Inactive	6												
431129118343601	USGS	431129118343601	HARN0001509			27S/34E-30CDB	USGS,OWRD	1956-11-22	2018-03-07	Inactive	7						1956-11-22	1956-11-22	Inactive	1					2015-10-20	2018-03-07	Inactive	6												
431238118400101	USGS	431238118400101	HARN0001482		1473	27S/33E-20DBA	USGS,OWRD	1976-04-11	2024-10-22	Active	41						1977-06-17	1977-06-17	Inactive	1					1976-04-11	2024-10-22	Active	40												
431249118362801	USGS	431249118362801	HARN0001485			27S/33E-23ACA	USGS,OWRD	1962-08-30	2017-11-02	Inactive	6						1962-08-30	1962-08-30	Inactive	1					2016-03-03	2017-11-02	Inactive	5												
431310118441101	USGS	431310118441101	HARN0001472			27S/32E-14CCD	USGS,OWRD	1974-06-04	2021-08-17	Inactive	19						1974-06-04	1974-06-04	Inactive	1					2016-05-03	2021-08-17	Inactive	18												
431342118440901	USGS	431342118440901	HARN0001473			27S/32E-14BCA	USGS,OWRD	1963-04-13	2018-02-28	Inactive	7						1963-04-13	1963-04-13	Inactive	1					2016-05-03	2018-02-28	Inactive	6												
431357118582301	USGS	431357118582301	HARN0001458			27S/30E-14BBB	USGS,OWRD	1976-05-02	2018-02-27	Inactive	8						1976-05-15	1976-05-15	Inactive	1					1976-05-02	2018-02-27	Inactive	7												
431447118533601	USGS	431447118533601	HARN0001467		1459	27S/31E-09BBA	USGS,OWRD	1965-06-25	2024-10-24	Active	41	OWRD	2015-07-30	2024-08-20	Active	3310	1979-07-17	1979-07-18	Inactive	2					1965-06-25	2024-10-24	Active	39	2015-07-30	2024-08-20	Active	3310								
431513118471801	USGS	431513118471801	HARN0001461		222	27S/31E-01ACB	USGS,OWRD	1959-09-05	2018-03-23	Inactive	31						1962-04-19	1972-03-08	Inactive	24					1959-09-05	2018-03-23	Inactive	7												
431514118534601	USGS	431514118534601				27S/31E-04CBB1	USGS	1972-10-05	1973-10-02	Inactive	16						1972-10-05	1973-10-02	Inactive	16																				
431540118535801	USGS	431540118535801	HARN0001463			27S/31E-05AA1	USGS	1930-09-15	1932-08-03	Inactive	25						1930-09-15	1932-08-03	Inactive	25					1930-09-15	1932-08-03	Inactive													
431545118512701	USGS	431545118512701	HARN0001363		179	26S/31E-34DDD	USGS,OWRD	1959-06-24	2024-10-23	Active	177						1964-08-27	1984-03-19	Inactive	72					1959-06-24	2024-10-23	Active	105												
431547118354601	USGS	431547118354601				26S/33E-36CDC1	USGS	1972-09-22	1973-10-02	Inactive	17						1972-09-22	1973-10-02	Inactive	17																				
431551118381001	USGS	431551118381001	HARN0001408		183	26S/33E-34CCA1	USGS,OWRD	1956-06-06	2024-10-23	Active	173						1956-06-06	1985-12-19	Inactive	77					1958-05-06	2024-10-23	Active	96												
431601118503301	USGS	431601118503301	HARN0001367			26S/31E-35DA1	USGS	1930-09-12	1932-08-03	Inactive	25						1930-09-12	1932-08-03	Inactive	25					1930-09-12	1932-08-03	Inactive													
431612118543001	USGS	431612118543001				26S/31E-32BDD1	USGS	1972-05-13	1973-10-02	Inactive	27						1972-05-13	1973-10-02	Inactive	27																				
431644118573801	USGS	431644118573801	HARN0001356			26S/30E-26DD1	USGS	1930-09-14	1932-08-03	Inactive	25						1930-09-14	1932-08-03	Inactive	25					1930-09-14	1932-08-03	Inactive													
